Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9861248751461527
unloading_parameter,[-6.85859782e-04  7.13077428e-01 -2.47272085e+02  2.86013680e+04]
peak_time,343.38
peak_value,2.985829
peak_mean,2.986635224
plus_minus_toleranz,0.0012773076714026198
U3,0.07761687731434552
U3_mean,0.07842310131434571
manufacturer,eaton
capacitance,25
typ,C
methode,B
klass,1
dut,3
version,1
U_R,3.0
ESR,0.018
I_c,4.386
I_dc,4.167





time,value,derivative
343.38,2.985829,-4.1822000000037844
343.39,2.944007,-3.2214999999992244
343.40000000000003,2.921399,-1.4390499999925623
343.41,2.915226,-0.5517000000004941
343.42,2.910365,-0.4436500000003889
343.43,2.906353,-0.3858000000003585
343.44,2.902649,-0.3279500000002997
343.45,2.899794,-0.27780000000026916
343.46,2.897093,-0.2623499999995431
343.47,2.894547,-0.2507499999994707
343.48,2.892078,-0.24690000000023815
343.49,2.889609,-0.2508000000002255
343.5,2.887062,-0.2392000000002099
343.51,2.884825,-0.2199000000001945
343.52,2.882664,-0.21989999999956922
343.53000000000003,2.880427,-0.20059999999949696
343.54,2.878652,-0.1775000000001512
343.55,2.876877,-0.1736500000001513
343.56,2.875179,-0.17360000000016385
343.57,2.873405,-0.2044500000002074
343.58,2.87109,-0.1890499999998667
343.59000000000003,2.869624,-0.1774499999998227
343.6,2.867541,-0.19675000000015075
343.61,2.865689,-0.16975000000016394
343.62,2.864146,-0.16205000000016412
343.63,2.862448,-0.1659000000001356
343.64,2.860828,-0.1581499999996936
343.65000000000003,2.859285,-0.1620499999997378
343.66,2.857587,-0.1659000000001356
343.67,2.855967,-0.18135000000017953
343.68,2.85396,-0.19295000000019513
343.69,2.852108,-0.18130000000016366
343.7,2.850334,-0.14275000000012028
343.71,2.849253,-0.13889999999958036
343.72,2.847556,-0.15429999999960842
343.73,2.846167,-0.1389000000001488
343.74,2.844778,-0.1466000000001202
343.75,2.843235,-0.1582000000001358
343.76,2.841614,-0.17745000000016375
343.77,2.839686,-0.1889999999996519
343.78000000000003,2.837834,-0.16589999999956717
343.79,2.836368,-0.1582000000001358
343.8,2.83467,-0.15435000000013588
343.81,2.833281,-0.12345000000013329
343.82,2.832201,-0.15430000000014843
343.83,2.830195,-0.17749999999978172
343.84000000000003,2.828651,-0.1658999999997377
343.85,2.826877,-0.15430000000012
343.86,2.825565,-0.1427500000001487
343.87,2.824022,-0.15045000000014852
343.88,2.822556,-0.1775000000001512
343.89,2.820472,-0.16974999999993656
343.90000000000003,2.819161,-0.1542999999998358
343.91,2.817386,-0.18520000000017944
343.92,2.815457,-0.16975000000013551
343.93,2.813991,-0.1775000000001512
343.94,2.811907,-0.17750000000017963
343.95,2.810441,-0.14270000000013283
343.96,2.809053,-0.13114999999979204
343.97,2.807818,-0.14664999999985184
343.98,2.80612,-0.16975000000016394
343.99,2.804423,-0.2199000000001945
344.0,2.801722,-0.13505000000012046
344.01,2.801722,-0.09645000000006121
344.02,2.799793,-0.18519999999966785
344.03000000000003,2.798018,-0.14659999999955176
344.04,2.796861,-0.1466000000001202
344.05,2.795086,-0.13115000000010468
344.06,2.794238,-0.11960000000010496
344.07,2.792694,-0.15435000000013588
344.08,2.791151,-0.16199999999963666
344.09000000000003,2.789454,-0.18519999999975312
344.1,2.787447,-0.1620500000001357
344.11,2.786213,-0.1504500000001201
344.12,2.784438,-0.15435000000013588
344.13,2.783126,-0.13890000000012037
344.14,2.78166,-0.1311499999998489
344.15000000000003,2.780503,-0.15044999999992115
344.16,2.778651,-0.16975000000016394
344.17,2.777108,-0.16590000000016403
344.18,2.775333,-0.1775000000001512
344.19,2.773558,-0.16975000000013551
344.2,2.771938,-0.135000000000133
344.21,2.770858,-0.1311499999996215
344.22,2.769315,-0.15434999999968113
344.23,2.767771,-0.13120000000014898
344.24,2.766691,-0.12730000000010477
344.25,2.765225,-0.17360000000016385
344.26,2.763219,-0.17750000000017963
344.27,2.761675,-0.15819999999970946
344.28000000000003,2.760055,-0.16199999999966508
344.29,2.758435,-0.1466000000001202
344.3,2.757123,-0.12345000000010486
344.31,2.755966,-0.1466000000001202
344.32,2.754191,-0.1659000000001356
