Signal Name,Original_Signal (Time Cut)
holding_voltage,2.984590794290253
unloading_parameter,[-1.73517965e-04  1.73150296e-01 -5.76989429e+01  6.42299545e+03]
peak_time,328.0
peak_value,2.983745
peak_mean,2.9851857799999997
plus_minus_toleranz,0.0010566026602990154
U3,0.06429085764693898
U3_mean,0.06573163764693879
manufacturer,sech
capacitance,25
typ,C
methode,B
klass,1
dut,1
version,1
U_R,3.0
ESR,0.025
I_c,3.158
I_dc,3.0





time,value,derivative
328.0,2.983745,-0.628800000000579
328.01,2.977457,-1.61265000000148
328.02,2.951492,-2.4112999999963733
328.03000000000003,2.929231,-1.3329499999923655
328.04,2.924833,-0.3761500000003366
328.05,2.921708,-0.2893500000002689
328.06,2.919046,-0.27395000000024083
328.07,2.916229,-0.28550000000024056
328.08,2.913336,-0.2603999999996631
328.09000000000003,2.911021,-0.21219999999948413
328.1,2.909092,-0.17170000000015762
328.11,2.907587,-0.14855000000011387
328.12,2.906121,-0.1620500000001357
328.13,2.904346,-0.18520000000017944
328.14,2.902417,-0.1889999999996803
328.15000000000003,2.900566,-0.15624999999951683
328.16,2.899292,-0.11770000000009873
328.17,2.898212,-0.11765000000008285
328.18,2.896939,-0.135000000000133
328.19,2.895512,-0.15430000000014843
328.2,2.893853,-0.1543500000001643
328.21,2.892425,-0.12924999999984266
328.22,2.891268,-0.1195999999997639
328.23,2.890033,-0.11575000000010505
328.24,2.888953,-0.11380000000008295
328.25,2.887757,-0.12925000000012687
328.26,2.886368,-0.14470000000011396
328.27,2.884863,-0.14854999999971596
328.28000000000003,2.883397,-0.11764999999962811
328.29,2.88251,-0.07715000000007421
328.3,2.881854,-0.0829500000000678
328.31,2.880851,-0.12155000000012706
328.32,2.879423,-0.1562500000001421
328.33,2.877726,-0.15624999999980105
328.34000000000003,2.876298,-0.12154999999964389
328.35,2.875295,-0.09255000000007385
328.36,2.874447,-0.08100000000007412
328.37,2.873675,-0.09070000000008349
328.38,2.872633,-0.11765000000011128
328.39,2.871322,-0.13694999999970037
328.40000000000003,2.869894,-0.14084999999971615
328.41,2.868505,-0.11765000000011128
328.42,2.867541,-0.09645000000008963
328.43,2.866576,-0.10995000000008304
328.44,2.865342,-0.12345000000007644
328.45,2.864107,-0.12155000000012706
328.46,2.862911,-0.12154999999975757
