Signal Name,Original_Signal (Time Cut)
holding_voltage,2.986953029244984
unloading_parameter,[-1.34533815e-04  7.45717325e-01 -1.37793772e+03  8.48787037e+05]
peak_time,1842.88
peak_value,2.985366
peak_mean,2.986383834
plus_minus_toleranz,0.0021518924447796847
U3,0.06867756300846484
U3_mean,0.06969539700846505
manufacturer,sech
capacitance,25
typ,C
methode,A
klass,4
dut,1
version,1
U_R,3.0
ESR,0.025
I_c,3.158
I_dc,3.0





time,value,derivative
1842.88,2.985366,-5.486200000004986
1842.89,2.930504,-2.9938500000027375
1842.9,2.925489,-0.35495000000031496
1842.91,2.923405,-0.3125000000002558
1842.92,2.919239,-0.3626500000003432
1842.93,2.916152,-0.18520000000017944
1842.94,2.915535,-0.18905000000015093
1842.95,2.912371,-0.3009500000002845
1842.96,2.909516,-0.16200000000014825
1842.97,2.909131,-0.15815000000011992
1842.98,2.906353,-0.23535000000021
1842.99,2.904424,-0.11190000000010514
1843.0,2.904115,-0.13120000000012055
1843.01,2.9018,-0.22765000000021018
1843.02,2.899562,-0.10415000000011787
1843.03,2.899717,-0.11185000000011769
1843.04,2.897325,-0.22765000000021018
1843.05,2.895164,-0.10030000000006112
1843.06,2.895319,-0.09645000000008963
1843.07,2.893235,-0.20065000000019495
1843.08,2.891306,-0.09645000000116966
1843.0900000000001,2.891306,-0.10415000000128316
1843.1000000000001,2.889223,-0.19290000000017926
1843.1100000000001,2.887448,-0.08490000000006148
1843.1200000000001,2.887525,-0.08870000000010236
1843.13,2.885674,-0.2083000000001789
1843.14,2.883359,-0.10035000000007699
1843.15,2.883667,-0.06175000000004616
1843.16,2.882124,-0.18130000000016366
1843.17,2.880041,-0.10030000000011796
1843.18,2.880118,-0.06175000000004616
1843.19,2.878806,-0.19290000000017926
1843.2,2.87626,-0.11185000000011769
1843.21,2.876569,-0.03860000000003083
1843.22,2.875488,-0.19680000000016662
1843.23,2.872633,-0.14275000000012028
1843.24,2.872633,-0.05015000000003056
1843.25,2.87163,-0.17360000000016385
1843.26,2.869161,-0.11575000000013347
1843.27,2.869315,-0.03860000000003083
1843.28,2.868389,-0.16975000000013551
1843.29,2.86592,-0.12345000000010486
1843.3,2.86592,-0.06170000000005871
1843.31,2.864686,-0.18905000000017935
1843.32,2.862139,-0.12345000000013329
1843.33,2.862217,-0.038549999998565454
1843.3400000000001,2.861368,-0.14274999999980764
1843.3500000000001,2.859362,-0.12735000000014907
1843.3600000000001,2.858821,-0.04245000000003074
