Signal Name,Original_Signal (Time Cut)
holding_voltage,2.989720208929582
unloading_parameter,[-1.31334463e-04  7.16511839e-01 -1.30311411e+03  7.90054834e+05]
peak_time,1813.64
peak_value,2.98961
peak_mean,2.989845442
plus_minus_toleranz,0.0013061365041491689
U3,0.06339207333385932
U3_mean,0.06362751533385946
manufacturer,kyocera
capacitance,25
typ,C
methode,A
klass,4
dut,3
version,1
U_R,3.0
ESR,0.05
I_c,1.579
I_dc,3.0





time,value,derivative
1813.64,2.98961,-1.3735000000012545
1813.65,2.975875,-2.5772000000023354
1813.66,2.938066,-2.160500000001946
1813.67,2.932665,-0.43985000000040486
1813.68,2.929269,-0.3202500000002715
1813.69,2.92626,-0.2777500000002533
1813.7,2.923714,-0.24305000000023824
1813.71,2.921399,-0.21990000000022292
1813.72,2.919316,-0.20060000000017908
1813.73,2.917387,-0.2006500000001381
1813.74,2.915303,-0.18520000000017944
1813.75,2.913683,-0.16200000000017667
1813.76,2.912063,-0.1659000000001356
1813.77,2.910365,-0.17360000000016385
1813.78,2.908591,-0.1582000000001358
1813.79,2.907201,-0.14665000000013606
1813.8,2.905658,-0.13885000000013292
1813.81,2.904424,-0.13890000000009195
1813.82,2.90288,-0.0553000000000452
1813.83,2.903318,-0.12344999999490369
1813.8400000000001,2.900411,-0.21479999999604615
1813.8500000000001,2.899022,-0.1350000000001046
1813.8600000000001,2.897711,-0.1311500000001331
1813.8700000000001,2.896399,-0.10420000000010532
1813.88,2.895627,-0.11960000000010496
1813.89,2.894007,-0.12730000000010477
1813.9,2.893081,-0.11575000000010505
1813.91,2.891692,-0.1273000000001332
1813.92,2.890535,-0.11960000000010496
1813.93,2.8893,-0.12345000000013329
1813.94,2.888066,-0.11575000000010505
1813.95,2.886985,-0.11575000000007662
1813.96,2.885751,-0.11575000000013347
1813.97,2.88467,-0.11575000000010505
1813.98,2.883436,-0.10800000000008936
1813.99,2.88251,-0.10805000000010523
1814.0,2.881275,-0.10800000000008936
1814.01,2.88035,-0.10415000000008945
1814.02,2.879192,-0.10420000000010532
1814.03,2.878266,-0.11190000000010514
1814.04,2.876954,-0.13505000000012046
1814.05,2.875565,-0.11185000000008927
1814.06,2.874717,-0.10800000000008936
1814.07,2.873405,-0.11960000000013338
1814.08,2.872325,-0.09259999999937918
1814.0900000000001,2.871553,-0.12349999999975125
1814.1000000000001,2.869855,-0.13505000000012046
1814.1100000000001,2.868852,-0.11960000000010496
1814.1200000000001,2.867463,-0.12345000000010486
1814.13,2.866383,-0.10415000000008945
1814.14,2.86538,-0.10030000000008954
1814.15,2.864377,-0.08875000000006139
1814.16,2.863605,-0.09260000000008972
1814.17,2.862525,-0.1157000000001176
1814.18,2.861291,-0.11575000000010505
1814.19,2.86021,-0.10030000000008954
1814.2,2.859285,-0.11575000000010505
1814.21,2.857895,-0.14280000000013615
1814.22,2.856429,-0.12730000000010477
1814.23,2.855349,-0.11960000000010496
1814.24,2.854037,-0.11575000000010505
1814.25,2.853034,-0.09645000000008963
1814.26,2.852108,-0.10030000000011796
1814.27,2.851028,-0.10415000000008945
1814.28,2.850025,-0.10800000000008936
1814.29,2.848868,-0.10805000000010523
1814.3,2.847864,-0.11190000000007672
1814.31,2.84663,-0.10415000000008945
1814.32,2.845781,-0.10030000000011796
1814.33,2.844624,-0.10799999999903775
1814.3400000000001,2.843621,-0.10804999999905363
1814.3500000000001,2.842463,-0.11190000000010514
1814.3600000000001,2.841383,-0.11575000000010505
1814.3700000000001,2.840148,-0.13115000000010468
1814.38,2.83876,-0.1157000000001176
1814.39,2.837834,-0.11190000000010514
1814.4,2.836522,-0.10805000000010523
1814.41,2.835673,-0.09645000000011805
1814.42,2.834593,-0.09645000000008963
1814.43,2.833744,-0.1080500000000768
1814.44,2.832432,-0.10415000000008945
1814.45,2.831661,-0.11185000000011769
1814.46,2.830195,-0.11575000000010505
1814.47,2.829346,-0.11960000000010496
1814.48,2.827803,-0.11575000000010505
1814.49,2.827031,-0.10035000000007699
1814.5,2.825796,-0.10800000000008936
1814.51,2.824871,-0.11185000000011769
1814.52,2.823559,-0.12350000000012074
1814.53,2.822401,-0.12345000000010486
1814.54,2.82109,-0.12730000000010477
1814.55,2.819855,-0.12735000000012064
1814.56,2.818543,-0.10030000000011796
1814.57,2.817849,-0.10800000000008936
1814.58,2.816383,-0.13504999999881306
1814.5900000000001,2.815148,-0.11574999999862712
1814.6000000000001,2.814068,-0.09260000000011814
1814.6100000000001,2.813296,-0.11960000000010496
1814.6200000000001,2.811676,-0.11960000000010496
1814.63,2.810904,-0.10805000000010523
1814.64,2.809515,-0.11575000000007662
1814.65,2.808589,-0.11185000000008927
1814.66,2.807278,-0.1273000000001332
1814.67,2.806043,-0.11575000000013347
1814.68,2.804963,-0.10030000000008954
1814.69,2.804037,-0.10030000000006112
1814.7,2.802957,-0.10030000000008954
1814.71,2.802031,-0.10035000000010541
1814.72,2.80095,-0.09260000000008972
1814.73,2.800179,-0.10030000000008954
1814.74,2.798944,-0.11575000000007662
1814.75,2.797864,-0.11960000000010496
1814.76,2.796552,-0.11960000000010496
1814.77,2.795472,-0.1157000000001176
1814.78,2.794238,-0.10030000000011796
1814.79,2.793466,-0.1042000000000769
1814.8,2.792154,-0.13120000000012055
1814.81,2.790842,-0.11575000000010505
1814.82,2.789839,-0.10415000000008945
1814.83,2.788759,-0.0964499999992654
1814.8400000000001,2.78791,-0.08484999999913612
1814.8500000000001,2.787062,-0.09645000000008963
1814.8600000000001,2.785981,-0.03860000000003083
1814.8700000000001,2.78629,-0.12345000000013329
1814.88,2.783512,-0.19290000000017926
1814.89,2.782432,-0.09645000000008963
1814.9,2.781583,-0.08875000000008981
1814.91,2.780657,-0.12345000000010486
1814.92,2.779114,-0.12730000000010477
1814.93,2.778111,-0.10805000000010523
1814.94,2.776953,-0.11575000000010505
1814.95,2.775796,-0.09645000000006121
1814.96,2.775024,-0.11575000000010505
1814.97,2.773481,-0.1273000000001332
1814.98,2.772478,-0.10800000000011778
1814.99,2.771321,-0.11575000000007662
1815.0,2.770163,-0.1042000000000769
1815.01,2.769237,-0.10415000000011787
1815.02,2.76808,-0.10415000000008945
1815.03,2.767154,-0.11190000000010514
1815.04,2.765842,-0.12345000000013329
1815.05,2.764685,-0.11960000000010496
1815.06,2.76345,-0.09645000000008963
1815.07,2.762756,-0.11960000000010496
1815.08,2.761058,-0.12734999999963748
1815.0900000000001,2.760209,-0.09259999999920865
1815.1000000000001,2.759206,-0.10415000000011787
1815.1100000000001,2.758126,-0.10800000000008936
1815.1200000000001,2.757046,-0.11575000000010505
1815.13,2.755811,-0.10805000000010523
1815.14,2.754885,-0.09645000000008963
1815.15,2.753882,-0.08485000000007403
1815.16,2.753188,-0.10030000000006112
1815.17,2.751876,-0.10805000000010523
1815.18,2.751027,-0.10030000000011796
1815.19,2.74987,-0.12730000000010477
1815.2,2.748481,-0.11960000000010496
1815.21,2.747478,-0.10805000000010523
1815.22,2.74632,-0.12345000000010486
1815.23,2.745009,-0.11185000000011769
1815.24,2.744083,-0.11960000000010496
1815.25,2.742617,-0.11960000000010496
1815.26,2.741691,-0.10035000000007699
1815.27,2.74061,-0.09645000000008963
1815.28,2.739762,-0.10800000000011778
1815.29,2.73845,-0.10030000000006112
1815.3,2.737756,-0.08490000000006148
1815.31,2.736752,-0.10420000000010532
1815.32,2.735672,-0.08870000000010236
1815.33,2.734978,-0.10799999999798615
1815.3400000000001,2.733512,-0.1273499999982164
1815.3500000000001,2.732431,-0.11190000000010514
1815.3600000000001,2.731274,-0.12345000000013329
1815.3700000000001,2.729962,-0.12345000000013329
1815.38,2.728805,-0.12345000000010486
1815.39,2.727493,-0.10805000000010523
1815.4,2.726644,-0.10030000000008954
1815.41,2.725487,-0.12345000000010486
1815.42,2.724175,-0.11575000000010505
1815.43,2.723172,-0.08485000000004561
1815.44,2.722478,-0.10030000000008954
1815.45,2.721166,-0.11960000000013338
1815.46,2.720086,-0.11575000000010505
1815.47,2.718851,-0.08490000000006148
1815.48,2.718388,-0.08100000000007412
1815.49,2.717231,-0.1311500000001331
1815.5,2.715765,-0.13120000000012055
1815.51,2.714607,-0.11960000000010496
1815.52,2.713373,-0.11575000000010505
1815.53,2.712292,-0.10805000000010523
1815.54,2.711212,-0.10800000000008936
1815.55,2.710132,-0.10415000000008945
1815.56,2.709129,-0.10030000000008954
1815.57,2.708126,-0.11575000000010505
1815.58,2.706814,-0.11959999999902493
1815.5900000000001,2.705734,-0.11189999999893985
1815.6000000000001,2.704576,-0.1042000000000769
1815.6100000000001,2.70365,-0.08485000000007403
1815.6200000000001,2.702879,-0.08870000000010236
1815.63,2.701876,-0.1080500000000768
1815.64,2.700718,-0.11960000000010496
1815.65,2.699484,-0.12345000000013329
1815.66,2.698249,-0.11575000000007662
1815.67,2.697169,-0.10415000000011787
1815.68,2.696166,-0.09645000000008963
1815.69,2.69524,-0.11575000000007662
1815.7,2.693851,-0.1273000000001332
1815.71,2.692694,-0.12345000000013329
1815.72,2.691382,-0.11190000000010514
1815.73,2.690456,-0.08490000000006148
1815.74,2.689684,-0.08490000000006148
1815.75,2.688758,-0.11960000000013338
1815.76,2.687292,-0.11960000000013338
1815.77,2.686366,-0.09645000000006121
1815.78,2.685363,-0.11185000000008927
1815.79,2.684129,-0.10415000000011787
