Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9891971496057996
unloading_parameter,[-2.04927401e-04  1.26637726e+00 -2.60868837e+03  1.79133957e+06]
peak_time,2055.46
peak_value,2.989532
peak_mean,2.9892894670658685
plus_minus_toleranz,0.001159000362560763
U3,0.08026409553025671
U3_mean,0.08002156259612514
manufacturer,vishay
capacitance,25
typ,C
methode,A
klass,4
dut,1
version,1
U_R,3.0
ESR,0.034
I_c,2.322
I_dc,3.0





time,value,derivative
2055.46,2.989532,-2.0408999999554416
2055.4700000000003,2.969123,-2.6234500000288676
2055.48,2.937063,-2.3225500000422983
2055.4900000000002,2.922672,-0.9317499999777965
2055.5,2.918428,-0.3800000000023829
2055.51,2.915072,-0.32985000000005016
2055.52,2.911831,-0.3125000000007958
2055.53,2.908822,-0.2912499999998488
2055.54,2.906006,-0.2662000000009357
2055.55,2.903498,-0.227649999999187
2055.56,2.901453,-0.1968000000005361
2055.57,2.899562,-0.19485000000045716
2055.58,2.897556,-0.20085000000017317
2055.59,2.895545,-0.19895000000005325
2055.6,2.893577,-0.18495000000069695
2055.61,2.891846,-0.1578999999994437
2055.62,2.890419,-0.14659999999994966
2055.63,2.888914,-0.16395000000073878
2055.64,2.88714,-0.17940000000007217
2055.65,2.885326,-0.1755499999998733
2055.66,2.883629,-0.15045000000100117
2055.67,2.882317,-0.12729999999996267
2055.68,2.881083,-0.13114999999976362
2055.69,2.879694,-0.13700000000002888
2055.7,2.878343,-0.14469999999971606
2055.71,2.8768,-0.14079999999694337
2055.7200000000003,2.875527,-0.11574999999956503
2055.73,2.874485,-0.10420000000010532
2055.7400000000002,2.873443,-0.10800000000028831
2055.75,2.872325,-0.12729999999942265
2055.76,2.870897,-0.14855000000039809
2055.77,2.869354,-0.14855000000036966
2055.78,2.867926,-0.13119999999958054
2055.79,2.86673,-0.11185000000043033
2055.8,2.865689,-0.11570000000062919
2055.81,2.864416,-0.1292500000000416
2055.82,2.863104,-0.12539999999987117
2055.83,2.861908,-0.1119000000004462
2055.84,2.860866,-0.09644999999974857
2055.85,2.859979,-0.10029999999954953
2055.86,2.85886,-0.11380000000019663
2055.87,2.857703,-0.1292499999995016
2055.88,2.856275,-0.14470000000022765
2055.89,2.854809,-0.12345000000118489
2055.9,2.853806,-0.09449999999984016
2055.91,2.852919,-0.09644999999972015
2055.92,2.851877,-0.1042000000000769
2055.93,2.850835,-0.11574999999956503
2055.94,2.849562,-0.13695000000055302
2055.95,2.848096,-0.12730000000101427
2055.96,2.847016,-0.0925999999979581
2055.9700000000003,2.846244,-0.07910000000015316
2055.98,2.845434,-0.0906499999996413
2055.9900000000002,2.844431,-0.11575000000081559
2056.0,2.843119,-0.1427499999996371
2056.01,2.841576,-0.13499999999925194
2056.02,2.840419,-0.09455000000104974
2056.03,2.839685,-0.08300000000051
2056.04,2.838759,-0.10219999999966944
2056.05,2.837641,-0.12345000000064488
2056.06,2.83629,-0.1292500000004111
2056.07,2.835056,-0.11184999999957768
2056.08,2.834053,-0.08680000000069299
2056.09,2.83332,-0.06754999999981237
2056.1,2.832702,-0.09454999999860547
2056.11,2.831429,-0.13695000000058144
2056.12,2.829963,-0.13310000000075206
