Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9884548116435945
unloading_parameter,[-5.15440518e-05  5.59345426e-02 -2.03081930e+01  2.46925832e+03]
peak_time,355.74
peak_value,2.986948
peak_mean,2.9874904011976047
plus_minus_toleranz,0.0015103943330001686
U3,0.06955443385210636
U3_mean,0.07009683504971109
manufacturer,vishay
capacitance,25
typ,C
methode,B
klass,1
dut,2
version,1
U_R,3.0
ESR,0.034
I_c,2.322
I_dc,2.206





time,value,derivative
355.74,2.986948,-1.3812000000012719
355.75,2.973136,-2.067950000001872
355.76,2.945589,-2.1566500000019175
355.77,2.930003,-0.9587000000015564
355.78000000000003,2.926415,-0.32214999999916927
355.79,2.92356,-0.2566000000002475
355.8,2.921283,-0.22380000000021028
355.81,2.919084,-0.21410000000017249
355.82,2.917001,-0.19095000000015716
355.83,2.915265,-0.16784999999970296
355.84000000000003,2.913644,-0.13804999999959477
355.85,2.912504,-0.13805000000010637
355.86,2.910883,-0.18025000000017144
355.87,2.908899,-0.15705000000016867
355.88,2.907742,-0.11190000000010514
355.89,2.906661,-0.11574999999973556
355.90000000000003,2.905427,-0.12729999999982056
355.91,2.904115,-0.12540000000012697
355.92,2.902919,-0.11380000000011137
355.93,2.901839,-0.12345000000007644
355.94,2.90045,-0.13505000000012046
355.95,2.899138,-0.11575000000013347
355.96,2.898135,-0.10414999999977681
355.97,2.897055,-0.09449999999972647
355.98,2.896245,-0.07525000000006798
355.99,2.89555,-0.08490000000006148
356.0,2.894547,-0.09835000000009586
356.01,2.893583,-0.09450000000012437
356.02,2.892657,-0.10034999999976435
356.03000000000003,2.891576,-0.09839999999974225
356.04,2.890689,-0.09065000000009604
356.05,2.889763,-0.09450000000006753
356.06,2.888799,-0.08875000000008981
356.07,2.887988,-0.0791000000000679
356.08,2.887217,-0.07714999999984684
356.09000000000003,2.886445,-0.08104999999989104
356.1,2.885596,-0.08485000000010245
356.11,2.884748,-0.07715000000004579
