Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9836133257542112
unloading_parameter,[-3.36417565e-05  3.75061452e-02 -1.39979861e+01  1.75128699e+03]
peak_time,364.31
peak_value,2.979733
peak_mean,2.9832293213572854
plus_minus_toleranz,0.0034614213545350425
U3,0.05868411638072191
U3_mean,0.0621804377380073
manufacturer,vishay
capacitance,50
typ,C
methode,B
klass,1
dut,5
version,1
U_R,3.0
ESR,0.022
I_c,3.589
I_dc,3.409





time,value,derivative
364.31,2.979733,-2.2222000000020397
364.32,2.957511,-2.029350000001841
364.33,2.939146,-1.072550000002252
364.34000000000003,2.93606,-0.3356499999994753
364.35,2.932433,-0.26620000000025357
364.36,2.930736,-0.2315000000002101
364.37,2.927803,-0.20450000000019486
364.38,2.926646,-0.16590000000016403
364.39,2.924485,-0.16589999999993665
364.40000000000003,2.923328,-0.1619999999999493
364.41,2.921245,-0.1311500000001331
364.42,2.920705,-0.14275000000012028
364.43,2.91839,-0.1582000000001358
364.44,2.917541,-0.10805000000010523
364.45,2.916229,-0.09645000000008963
364.46,2.915612,-0.11959999999945126
364.47,2.913837,-0.11189999999942302
364.48,2.913374,-0.08485000000010245
364.49,2.91214,-0.09315000000009377
364.5,2.911511,-0.11575000000007662
364.51,2.909825,-0.12290000000012924
364.52,2.909053,-0.08099999999981833
364.53000000000003,2.908205,-0.09644999999989068
364.54,2.907124,-0.08875000000008981
364.55,2.90643,-0.10030000000008954
364.56,2.905118,-0.0849000000000899
364.57,2.904732,-0.08100000000007412
364.58,2.903498,-0.06945000000018808
364.59000000000003,2.903343,-0.09260000000026025
364.6,2.901646,-0.08485000000010245
364.61,2.901646,-0.06945000000004597
364.62,2.900257,-0.07330000000004588
364.63,2.90018,-0.08105000000006157
364.64,2.898636,-0.08105000000026052
364.65000000000003,2.898559,-0.07715000000024475
364.66,2.897093,-0.06555000000008704
364.67,2.897248,-0.0655500000000302
364.68,2.895782,-0.06945000000004597
364.69,2.895859,-0.0733000000000743
364.7,2.894316,-0.0849000000000899
364.71,2.894161,-0.0694499999995628
364.72,2.892927,-0.08099999999961938
364.73,2.892541,-0.07715000000007421
364.74,2.891384,-0.0578500000000588
364.75,2.891384,-0.06560000000004607
364.76,2.890072,-0.07720000000006166
364.77,2.88984,-0.03859999999983188
