Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9870562737795674
unloading_parameter,[-3.92162285e-08  2.29460563e-04 -4.58269490e-01  3.14378093e+02]
peak_time,1905.39
peak_value,2.987282
peak_mean,2.987744706
plus_minus_toleranz,0.001126922754639429
U3,0.011991700407129269
U3_mean,0.012454406407129248
manufacturer,vishay
capacitance,50
typ,C
methode,A
klass,3
dut,4
version,1
U_R,3.0
ESR,0.022
I_c,3.589
I_dc,0.6





time,value,derivative
1905.39,2.987282,-0.717100000000656
1905.4,2.980111,-0.381450000000342
1905.41,2.979653,-0.049600000000054933
1905.42,2.979119,-0.05340000000003897
1905.43,2.978585,-0.06865000000004784
1905.44,2.977746,-0.041950000000042564
1905.45,2.977746,-0.007650000000012369
1905.46,2.977593,-0.007650000000012369
1905.47,2.977593,-0.026700000000005275
1905.48,2.977059,-0.04960000000002651
1905.49,2.976601,-0.041950000000042564
1905.5,2.97622,-0.011400000000008959
1905.51,2.976373,-0.007650000000012369
1905.52,2.976067,-0.026750000000049567
1905.53,2.975838,-0.034300000000030195
1905.54,2.975381,-0.034300000000030195
1905.55,2.975152,-0.022900000000021237
1905.56,2.974923,-0.022900000000021237
1905.57,2.974694,0.011449999999996407
1905.58,2.975152,0.011450000000650107
1905.5900000000001,2.974923,-0.04580000000004247
1905.6000000000001,2.974236,-0.038150000000030104
1905.6100000000001,2.97416,0.007650000000012369
1905.6200000000001,2.974389,-0.01145000000002483
1905.63,2.973931,-0.034350000000046066
1905.64,2.973702,-0.015250000000008868
1905.65,2.973626,-0.022850000000005366
1905.66,2.973245,-0.022900000000021237
1905.67,2.973168,0.0
1905.68,2.973245,0.007650000000012369
1905.69,2.973321,-0.026700000000033697
1905.7,2.972711,-0.038150000000058526
1905.71,2.972558,-0.007650000000012369
1905.72,2.972558,-0.019049999999992906
1905.73,2.972177,0.0
1905.74,2.972558,0.0037999999999840384
1905.75,2.972253,-0.04195000000001414
1905.76,2.971719,-0.026700000000005275
1905.77,2.971719,0.007649999999983947
1905.78,2.971872,0.00380000000001246
1905.79,2.971795,-0.007649999999983947
1905.8,2.971719,-0.00760000000002492
1905.81,2.971643,-0.041950000000042564
1905.82,2.97088,-0.019100000000008777
1905.83,2.971261,0.015250000000349928
1905.8400000000001,2.971185,-0.007599999999911233
1905.8500000000001,2.971109,-0.0191000000000372
1905.8600000000001,2.970803,-0.034350000000046066
1905.8700000000001,2.970422,-0.038100000000042655
1905.88,2.970041,-0.0037999999999840384
1905.89,2.970346,0.030500000000046157
1905.9,2.970651,-0.00380000000001246
